"DateOpened","TimeOpened","WorkOrderId","WOType","OriginalCaller","DateEarliestStart","DateWorkCompleted","WorkRequested","SiteID","SiteName","StreetAddress","City","State","Zip","WorkCode","WOStatus","Fog Permit No.","SiteNumber","Invoices","Documents"
"2020-05-26","16:41:37","340880","PreventiveMaint","","2020-06-01","2020-06-29","Scope of Work: B Multiple Pits & Powerwashing","80916","Ingleside at King Farm","701 King Farm Boulevard","Rockville","MD","20850","04 Ejector System Waste","Billed","","","1","43"
"2019-12-31","08:48:51","331452","PreventiveMaint","","2020-01-01","2020-02-06","","80916","Ingleside at King Farm","701 King Farm Boulevard","Rockville","MD","20850","14 Test backflow","Billed","","","1","39"
"2020-03-20","15:52:36","337609","PreventiveMaint","","2020-04-01","2020-04-28","Scope of Work: A Multiple Pits & Powerwashing","80916","Ingleside at King Farm","701 King Farm Boulevard","Rockville","MD","20850","04 Ejector System Waste","Billed","","","1","34"
"2020-01-31","14:14:39","333831","PreventiveMaint","","2020-02-01","2020-02-20","Scope of Work: B Multiple Pits & Power Washing","80916","Ingleside at King Farm","701 King Farm Boulevard","Rockville","MD","20850","04 Ejector System Waste","Billed","","","1","26"
"2019-08-27","15:25:03","321566","PreventiveMaint","","2019-09-18","2019-09-11","All Large & Small Interceptors & Ejectors","80916","Ingleside at King Farm","701 King Farm Boulevard","Rockville","MD","20850","04 Ejector System Waste","Billed","","","1","24"
"2020-04-22","16:28:11","339219","PreventiveMaint","","2020-05-01","2020-05-26","Scope of Work: B Multiple Pits & Powerwashing","80916","Ingleside at King Farm","701 King Farm Boulevard","Rockville","MD","20850","04 Ejector System Waste","Billed","","","1","18"
"2020-01-14","17:25:19","332374","PreventiveMaint","","2020-01-01","2020-01-21","Scope of Work: A Multiple Pits & Powerwashing","80916","Ingleside at King Farm","701 King Farm Boulevard","Rockville","MD","20850","04 Ejector System Waste","Billed","","","1","16"
"2019-08-30","11:51:42","321937","PreventiveMaint","","2019-10-18","2019-10-16","FC Loading Dock Eject. Bsmt Intercept & Eject","80916","Ingleside at King Farm","701 King Farm Boulevard","Rockville","MD","20850","04 Ejector System Waste","Billed","","","1","12"
"2019-08-30","11:51:42","321939","PreventiveMaint","","2019-12-18","2019-12-18","All Large & Small Interceptors & Ejectors","80916","Ingleside at King Farm","701 King Farm Boulevard","Rockville","MD","20850","04 Ejector System Waste","Billed","","","1","12"
"2020-02-18","16:59:45","335087","PreventiveMaint","","2020-03-01","2020-03-27","Scope of Work: B Multiple Pits & Powerwashing","80916","Ingleside at King Farm","701 King Farm Boulevard","Rockville","MD","20850","04 Ejector System Waste","Billed","","","1","11"
